NMSG,CPU_MAX,CPU_AVG,ANOMALY
110004.0,2.16,1.39,0.0
276911.0,3.53,2.52,0.0
592120.0,6.53,4.59,0.0
970018.0,9.67,7.43,0.0
1248609.0,11.1,9.32,0.0
1332132.0,11.45,10.02,0.0
1167403.0,10.93,9.28,0.0
895692.0,8.75,7.33,0.0
776962.0,7.79,6.57,1.0
758061.0,7.2,6.24,0.0
966804.0,9.23,7.52,0.0
1176600.0,11.48,9.31,0.0
1349214.0,11.74,10.27,1.0
1155781.0,10.89,9.08,0.0
695252.0,8.12,5.9,0.0
493186.0,5.2,4.4,0.0
450454.0,7.66,5.09,0.0
335745.0,4.8,3.27,0.0
212430.0,3.49,2.38,0.0
142528.0,3.28,2.46,0.0
105807.0,2.29,1.76,0.0
57324.0,2.48,1.21,0.0
52944.0,1.43,0.99,0.0
53054.0,2.46,1.2,0.0
96981.0,3.06,1.58,0.0
207729.0,2.68,1.94,0.0
563803.0,6.0,4.01,0.0
1055105.0,9.82,7.6,0.0
1511128.0,12.51,10.37,0.0
1660849.0,13.09,11.42,0.0
1403031.0,12.13,9.81,0.0
872260.0,7.75,6.36,0.0
739194.0,6.33,5.62,0.0
759561.0,6.39,5.61,0.0
885512.0,7.68,6.28,0.0
1019856.0,9.59,7.61,0.0
1189009.0,9.84,8.51,0.0
1085679.0,9.57,7.82,0.0
698946.0,6.87,5.16,0.0
502012.0,5.11,4.13,0.0
463305.0,5.43,4.22,0.0
374478.0,5.14,3.38,0.0
256081.0,3.64,2.69,0.0
143212.0,3.27,2.43,0.0
111453.0,2.67,1.81,0.0
67694.0,2.84,1.34,0.0
72522.0,1.64,1.19,0.0
74005.0,3.23,1.48,0.0
95381.0,2.95,1.98,0.0
152464.0,2.72,1.75,0.0
353601.0,4.42,3.1,0.0
708526.0,6.96,5.53,0.0
1014395.0,9.08,7.56,0.0
1124046.0,100.0,9.99,0.0
968975.0,9.11,7.3,0.0
633598.0,6.09,5.18,0.0
587777.0,5.86,5.06,0.0
593157.0,5.91,5.04,0.0
611524.0,6.16,5.17,0.0
656604.0,6.94,5.78,0.0
752374.0,6.85,6.01,0.0
766820.0,6.75,5.92,0.0
563494.0,5.69,4.86,0.0
499395.0,5.33,4.41,0.0
425762.0,7.8,6.68,0.0
257863.0,7.66,4.86,0.0
154826.0,3.48,1.98,0.0
96257.0,2.54,2.03,0.0
90079.0,3.65,1.87,0.0
52579.0,2.07,1.24,0.0
69224.0,1.56,1.13,0.0
78587.0,2.6,1.25,0.0
140060.0,2.62,1.57,0.0
296229.0,3.8,2.55,0.0
610761.0,6.71,4.68,0.0
1000310.0,9.13,7.14,0.0
1330778.0,10.85,8.89,0.0
1371713.0,11.6,9.58,0.0
1185441.0,10.41,8.75,1.0
896715.0,8.56,6.92,1.0
748677.0,6.93,6.0,1.0
778022.0,7.21,6.07,0.0
1080266.0,9.31,8.03,1.0
1362254.0,12.23,9.69,1.0
1513106.0,12.91,10.68,1.0
1227779.0,11.41,10.25,1.0
714005.0,9.05,7.55,1.0
512010.0,7.39,6.01,0.0
435849.0,7.9,5.08,0.0
320659.0,5.26,3.25,0.0
207658.0,3.29,2.34,0.0
139637.0,2.96,2.37,0.0
154757.0,2.93,2.04,0.0
111826.0,3.55,1.8,0.0
145810.0,2.46,1.74,1.0
166982.0,3.0,1.78,0.0
191446.0,3.05,1.98,0.0
342461.0,4.06,3.02,0.0
639270.0,6.72,4.99,0.0
1062243.0,10.6,7.56,0.0
1372971.0,11.66,9.66,1.0
1474226.0,12.03,10.33,0.0
1282708.0,11.51,9.45,0.0
963191.0,9.17,7.39,0.0
842043.0,8.09,6.38,0.0
831818.0,7.61,6.35,0.0
1001012.0,9.7,7.56,0.0
1279678.0,11.2,9.18,0.0
1376714.0,11.22,9.8,0.0
1124823.0,9.89,8.2,0.0
627928.0,6.45,4.93,0.0
444889.0,5.33,3.92,0.0
391921.0,6.7,4.18,0.0
260261.0,4.16,2.55,0.0
142557.0,2.68,1.79,0.0
78525.0,2.8,1.88,0.0
69776.0,2.16,1.4,0.0
40952.0,2.06,1.09,0.0
54178.0,2.66,1.18,0.0
70736.0,2.42,1.12,0.0
109582.0,2.29,1.49,0.0
242013.0,3.13,2.29,0.0
547230.0,5.91,4.12,0.0
934915.0,8.41,6.55,0.0
1205814.0,10.2,8.61,0.0
1317220.0,10.64,9.3,0.0
1179817.0,10.24,8.59,0.0
868280.0,8.02,6.7,0.0
737770.0,6.63,5.8,0.0
757558.0,6.88,5.72,0.0
909196.0,8.75,6.89,0.0
1183359.0,10.62,8.33,1.0
1327542.0,11.11,9.25,0.0
1107903.0,9.83,7.96,0.0
607413.0,6.71,4.92,0.0
436263.0,4.64,3.85,0.0
381327.0,7.38,4.7,0.0
256191.0,4.3,2.63,0.0
152796.0,2.72,1.94,0.0
95428.0,3.06,2.14,0.0
85555.0,100.0,3.06,0.0
59644.0,2.69,1.4,0.0
58686.0,2.21,1.23,0.0
72011.0,3.9,1.82,0.0
106727.0,4.46,2.4,0.0
239241.0,3.44,2.19,0.0
527230.0,5.53,4.05,0.0
957794.0,8.48,6.45,0.0
1201624.0,10.38,8.52,0.0
1337830.0,11.52,9.35,0.0
1216493.0,10.48,8.88,0.0
890680.0,8.58,6.87,1.0
781807.0,7.51,5.98,0.0
758709.0,7.01,5.77,0.0
938895.0,9.23,6.98,0.0
1168971.0,11.03,8.68,0.0
1366562.0,11.35,9.6,0.0
1137060.0,10.2,8.09,0.0
644713.0,6.49,4.96,0.0
495607.0,5.01,4.07,0.0
433879.0,7.45,4.78,0.0
283549.0,5.35,2.95,0.0
164220.0,2.89,2.09,0.0
104567.0,2.73,2.08,0.0
103360.0,2.26,1.44,0.0
56771.0,1.56,1.1,0.0
67246.0,3.08,1.49,0.0
70897.0,2.44,1.22,0.0
117567.0,2.22,1.5,0.0
268269.0,3.05,2.32,0.0
557114.0,5.61,4.07,0.0
979156.0,8.72,6.71,0.0
1263003.0,10.61,8.65,0.0
1393986.0,11.15,9.58,0.0
1239980.0,10.62,8.8,0.0
889548.0,8.07,6.79,0.0
766556.0,7.04,6.06,0.0
774233.0,6.67,5.96,0.0
980350.0,8.84,6.96,0.0
1231047.0,10.58,8.55,0.0
1385405.0,10.74,9.34,0.0
1130681.0,10.41,8.34,0.0
654459.0,6.86,5.23,0.0
497296.0,4.79,4.05,0.0
442013.0,7.65,4.72,0.0
326241.0,5.37,3.09,0.0
211104.0,2.81,2.25,0.0
133519.0,3.27,2.4,0.0
114319.0,2.69,1.85,0.0
68966.0,2.77,1.3,0.0
70382.0,1.7,1.07,0.0
68179.0,2.39,1.23,0.0
100438.0,2.69,1.46,0.0
200538.0,3.21,1.91,0.0
519760.0,5.5,3.81,0.0
1067180.0,9.28,7.22,0.0
1442752.0,11.94,9.74,0.0
1614986.0,12.37,10.97,0.0
1331706.0,11.44,9.34,0.0
834509.0,7.69,6.31,0.0
730390.0,6.77,5.71,0.0
745774.0,6.4,5.61,0.0
894130.0,8.11,6.44,0.0
1033202.0,9.52,7.55,0.0
1156129.0,9.79,8.34,0.0
1092938.0,9.38,7.63,0.0
648610.0,6.34,4.93,0.0
491421.0,4.69,4.09,0.0
467202.0,5.0,4.1,0.0
347273.0,4.9,3.09,0.0
222351.0,3.12,2.39,0.0
145956.0,3.08,2.31,0.0
116463.0,2.34,1.84,0.0
68998.0,2.59,1.26,0.0
71368.0,1.49,1.1,0.0
55575.0,2.94,1.22,0.0
68513.0,2.53,1.67,1.0
126906.0,2.11,1.36,0.0
296021.0,3.68,2.43,0.0
640679.0,5.84,4.58,0.0
866746.0,7.4,6.23,0.0
987696.0,8.3,6.95,0.0
835323.0,7.44,6.31,0.0
567269.0,5.64,4.68,0.0
535992.0,5.44,4.55,0.0
525049.0,4.91,4.23,0.0
519019.0,5.07,4.21,0.0
591434.0,100.0,6.31,0.0
666233.0,6.51,5.4,0.0
670054.0,6.7,5.37,0.0
518199.0,5.21,4.25,0.0
467755.0,4.62,3.96,0.0
405434.0,7.24,6.15,0.0
257639.0,7.44,4.34,0.0
152665.0,2.43,1.84,0.0
95719.0,2.78,2.05,0.0
96636.0,3.6,1.88,0.0
53572.0,1.54,1.02,0.0
66703.0,1.64,1.05,0.0
67101.0,2.46,1.12,0.0
93342.0,1.88,1.31,0.0
208230.0,2.65,1.85,0.0
484234.0,5.33,3.64,0.0
911070.0,8.34,6.35,0.0
1236403.0,9.93,8.27,0.0
1342286.0,10.38,9.12,0.0
1123879.0,9.92,8.26,0.0
777421.0,7.3,6.08,0.0
670248.0,5.87,5.3,0.0
702209.0,6.42,5.45,0.0
842230.0,8.15,6.34,0.0
1111030.0,9.65,7.83,0.0
1248369.0,10.09,8.71,0.0
1046685.0,9.55,7.8,0.0
580964.0,5.98,4.55,0.0
420568.0,5.25,3.7,0.0
373672.0,7.11,4.28,0.0
255490.0,4.08,2.48,0.0
150214.0,2.61,1.82,0.0
98891.0,2.86,2.1,0.0
99382.0,2.52,1.57,0.0
56913.0,2.64,1.34,0.0
60306.0,1.59,1.02,0.0
60727.0,2.19,1.09,0.0
98512.0,1.64,1.16,0.0
220719.0,2.88,1.93,0.0
515406.0,5.39,3.74,0.0
980283.0,8.46,6.56,0.0
1332383.0,10.83,8.87,0.0
1411565.0,11.37,9.65,0.0
1177993.0,10.19,8.39,0.0
819773.0,7.24,6.02,0.0
690363.0,6.06,5.38,0.0
721219.0,6.21,5.39,0.0
881781.0,7.73,6.33,0.0
1120879.0,10.49,7.95,0.0
1221144.0,10.49,8.68,0.0
1067680.0,9.13,7.43,0.0
586174.0,6.13,4.7,0.0
464275.0,4.68,3.89,0.0
414576.0,6.92,4.41,0.0
277098.0,4.51,2.7,0.0
167994.0,3.0,2.04,0.0
99220.0,2.68,2.03,0.0
89266.0,2.14,1.32,0.0
44378.0,1.43,1.07,0.0
60658.0,2.38,1.27,0.0
73292.0,2.76,1.28,0.0
104666.0,1.82,1.22,1.0
209710.0,2.82,1.96,0.0
507393.0,5.56,3.8,0.0
935543.0,9.07,6.74,0.0
1338304.0,10.36,8.62,0.0
1376255.0,10.6,9.28,0.0
1179000.0,9.82,8.13,0.0
800044.0,7.15,6.13,0.0
712922.0,6.13,5.44,0.0
691921.0,5.99,5.24,0.0
829222.0,7.4,6.01,0.0
1089990.0,10.07,7.81,0.0
1262800.0,10.66,8.88,0.0
1125899.0,10.02,8.05,1.0
663622.0,6.58,5.14,0.0
510206.0,5.16,4.27,0.0
465228.0,8.0,5.1,0.0
325718.0,5.36,3.22,0.0
198277.0,3.4,2.31,0.0
110550.0,2.53,2.07,0.0
95739.0,2.09,1.45,0.0
47248.0,2.23,1.23,0.0
82674.0,2.28,1.28,0.0
68671.0,2.32,1.08,0.0
104560.0,1.94,1.3,0.0
220104.0,2.76,1.9,0.0
534062.0,100.0,5.45,0.0
991524.0,8.72,6.76,0.0
1297655.0,10.63,8.75,0.0
1407400.0,11.27,9.59,0.0
1176646.0,10.51,8.41,0.0
806315.0,7.43,5.99,0.0
694917.0,6.1,5.37,0.0
699640.0,5.99,5.23,0.0
825576.0,7.48,6.03,0.0
1034207.0,9.61,7.36,0.0
1195635.0,10.05,8.39,0.0
1081353.0,9.32,7.64,0.0
628408.0,6.78,4.94,0.0
480614.0,4.69,3.95,0.0
451909.0,7.57,4.67,0.0
309525.0,4.81,2.85,0.0
190958.0,3.03,2.13,0.0
128727.0,2.83,2.27,0.0
103644.0,2.32,1.46,0.0
61115.0,2.14,1.33,0.0
98551.0,2.6,1.41,0.0
72848.0,3.07,1.24,0.0
95562.0,1.82,1.19,0.0
223372.0,2.72,1.88,0.0
555009.0,5.6,3.95,0.0
1046661.0,9.5,7.04,0.0
1381457.0,11.03,9.26,0.0
1485461.0,11.65,10.14,1.0
1235408.0,10.75,8.74,0.0
837500.0,7.95,6.12,0.0
741196.0,6.15,5.41,0.0
752305.0,6.29,5.38,0.0
873324.0,7.75,6.22,0.0
1130947.0,9.65,7.69,0.0
1276291.0,10.13,8.62,0.0
1117782.0,9.63,7.72,0.0
670414.0,6.46,4.95,0.0
522518.0,4.97,4.11,0.0
469360.0,7.43,4.79,0.0
341177.0,5.45,3.09,0.0
221084.0,3.07,2.3,0.0
141094.0,3.23,2.4,0.0
115675.0,2.98,1.87,0.0
65083.0,2.12,1.21,0.0
92693.0,1.66,1.24,0.0
68504.0,2.5,1.26,0.0
88418.0,2.55,1.42,0.0
190758.0,2.74,1.97,0.0
556345.0,6.21,4.2,0.0
1118422.0,10.78,8.25,0.0
1496102.0,12.75,10.85,0.0
1585118.0,13.15,11.66,0.0
1295437.0,11.73,9.63,0.0
804065.0,7.65,6.33,0.0
700568.0,6.96,5.84,0.0
690582.0,6.4,5.54,0.0
778656.0,7.18,5.99,0.0
963110.0,9.21,7.42,0.0
1163050.0,10.19,8.63,0.0
1089264.0,9.9,8.19,0.0
651979.0,6.63,5.03,0.0
480936.0,5.06,4.12,0.0
467221.0,5.5,4.13,0.0
341574.0,4.8,3.14,0.0
226248.0,3.11,2.37,0.0
143697.0,3.0,2.44,0.0
113770.0,3.22,1.97,0.0
69501.0,2.25,1.26,0.0
80838.0,1.7,1.12,0.0
52289.0,2.18,1.0,0.0
63357.0,2.39,1.3,0.0
129147.0,2.51,1.59,0.0
325966.0,4.06,2.79,0.0
595846.0,5.88,4.58,0.0
731540.0,6.6,5.6,0.0
738085.0,7.29,5.76,0.0
632250.0,6.15,5.01,0.0
419132.0,4.34,3.7,0.0
418337.0,4.63,3.89,0.0
432883.0,4.59,3.73,0.0
377967.0,4.29,3.37,0.0
377295.0,4.82,3.43,0.0
428594.0,4.57,3.73,0.0
462432.0,4.82,4.0,0.0
428053.0,4.54,3.65,0.0
